class,n,top1_acc,top5_acc,mean_top1_conf,most_common_top1_pred,most_common_top1_pred_ratio
tomorrow,13,0.9230769230769231,0.9230769230769231,0.5890387915647947,tomorrow,0.9230769230769231
uncle,13,0.9230769230769231,1.0,0.926864912876716,uncle,0.9230769230769231
age,13,0.9230769230769231,1.0,0.7730752390164596,age,0.9230769230769231
last year,13,0.9230769230769231,1.0,0.8222911770527179,last year,0.9230769230769231
morning,13,0.9230769230769231,0.9230769230769231,0.9633749173237727,morning,0.9230769230769231
clothes,25,0.92,1.0,0.6172392761707306,clothes,0.92
stress,12,0.9166666666666666,0.9166666666666666,0.6220127418637276,stress,0.9166666666666666
grandfather,12,0.9166666666666666,1.0,0.83856400847435,grandfather,0.9166666666666666
schedule,12,0.9166666666666666,0.9166666666666666,0.8317871416608492,schedule,0.9166666666666666
bedroom,12,0.9166666666666666,1.0,0.8540742645661036,bedroom,0.9166666666666666
food,12,0.9166666666666666,1.0,0.6899053379893303,food,0.9166666666666666
ticket,12,0.9166666666666666,0.9166666666666666,0.7958804567654928,ticket,0.9166666666666666
worry,12,0.9166666666666666,1.0,0.8963774318496386,worry,0.9166666666666666
thirsty,12,0.9166666666666666,1.0,0.7940319577852885,thirsty,0.9166666666666666
after,12,0.9166666666666666,1.0,0.7858472491304079,after,0.9166666666666666
deaf,23,0.9130434782608695,0.9565217391304348,0.7212951895983323,deaf,0.9130434782608695
upset,11,0.9090909090909091,1.0,0.6171157603914087,upset,0.9090909090909091
ask,11,0.9090909090909091,1.0,0.8755320148034529,ask,0.9090909090909091
early,11,0.9090909090909091,1.0,0.7551239918578755,early,0.9090909090909091
help,22,0.9090909090909091,1.0,0.8167115653103049,help,0.9090909090909091
angry,11,0.9090909090909091,0.9090909090909091,0.7440570091659372,angry,0.9090909090909091
grandmother,11,0.9090909090909091,0.9090909090909091,0.7499054832891985,grandmother,0.9090909090909091
deodorant,11,0.9090909090909091,0.9090909090909091,0.9603513966907155,deodorant,0.9090909090909091
dad,10,0.9,1.0,0.7285083621740341,dad,0.9
sometimes,10,0.9,1.0,0.6470772564411164,sometimes,0.9
psychology,10,0.9,0.9,0.9182598173618317,psychology,0.9
